molecule,affinity_kcal_mol,SMILES
mol_0000,-8.0,Cc1ccc(OCCCOc2ccc3c(c2)NC(=O)CC3)cc1C
mol_0001,-7.8,Cc1nc(CNC(=O)N2CCC(NC(=O)c3ccccc3)CC2)cs1
mol_0002,-8.4,Cc1ccc(S(=O)(=O)N2CCC(C(=O)Nc3ccc4c(c3)OCCCO4)CC2)cc1
mol_0003,-9.1,CC(=O)N1CCC(NCc2cccnc2Oc2ccc(Cl)cc2)CC1
mol_0004,-7.4,Cc1cc(C)cc(C(=O)NC(=S)Nc2ccc(C)c(Cl)c2)c1
mol_0005,-7.6,CCC(=O)Nc1cc(Cc2ccccc2)cc2cccnc12
mol_0006,-7.1,CNCc1cc(C(=O)N2CCN(C(C)C)CC2)ccc1Oc1ccc(C)c(C)c1
mol_0007,-9.8,CNC(=O)c1ccc(NC(=O)N2CC(Oc3ncccc3C3CCCC3)C2)cc1
mol_0008,-8.1,Cc1ccccc1NC1CCC(N2CCN(c3ccccc3C)CC2)CC1
mol_0009,-8.8,O=C1CCc2ccc(OCCN3CCN(c4c(Cl)cccc4Cl)CC3)cc2N1
mol_0010,-8.3,CCOc1ccc(S(=O)(=O)N2CCC(C(=O)Nc3ccc(F)cc3)CC2)cc1C
mol_0011,-8.6,COc1ccc(NC(=S)Nc2cc3c4c(c2)CCC(=O)N4CCC3)cc1OC
mol_0012,-8.6,NS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc(F)cc2)cc1
mol_0013,-9.0,N#Cc1ccc(C(=O)Nc2ccc(NCC3CCCO3)c(Cl)c2)cc1
mol_0014,-7.9,CC(C)c1nc(CN(C)C(=O)Nc2ccc3c(c2)CCO3)cs1
mol_0015,-7.0,O=C(c1csnn1)N(Cc1c(F)cccc1Cl)C1CCCCC1
mol_0016,-9.8,COc1ccc(C(O)C(=O)NCc2cc(C)cc(C)c2)cc1OC
mol_0017,-8.6,Cc1ccc(C)c(N(CC(=O)NC(C)(C)C)C(=O)c2csnn2)c1
mol_0018,-8.3,COc1c(C)cc(OCc2cc(C(=O)N3CCC(F)CC3)no2)cc1C
mol_0019,-7.9,CCOc1ccc(NS(=O)(=O)c2ccc3c(c2)CCN(C)C3)cc1
